model,velocity,scope,flag_policy,component_prior,status,thin_singles,thick_singles,thin_multis,thick_multis,l1_planet_count_delta,method_note
conditioned,direct,planet_hosts,finite,equal,ok,1253.0,253.0,988.0,148.0,339.0,"APOGEE-calibrated model=conditioned; calibration_n=647, high_alpha_n=51, velocity=direct, scope=planet_hosts, flag_policy=finite, component_prior=equal; chemically conditioned Gaussian components; low_mean=[225.002, 39.931], high_mean=[209.653, 53.787], prior_high=0.500000"
conditioned,old_astropy,planet_hosts,finite,equal,ok,1275.0,231.0,981.0,155.0,369.0,"APOGEE-calibrated model=conditioned; calibration_n=647, high_alpha_n=51, velocity=old_astropy, scope=planet_hosts, flag_policy=finite, component_prior=equal; chemically conditioned Gaussian components; low_mean=[-226.681, 33.547], high_mean=[-211.609, 48.112], prior_high=0.500000"
pooled,direct,planet_hosts,finite,equal,ok,1306.0,200.0,989.0,147.0,447.0,"APOGEE-calibrated model=pooled; calibration_n=647, high_alpha_n=51, velocity=direct, scope=planet_hosts, flag_policy=finite, component_prior=equal; pooled unsupervised GMM; means=[[226.15, 32.745], [212.967, 79.013]], high_alpha_fraction_by_component=[0.04804270462633452, 0.2823529411764706], thick_component=1"
conditioned,old_astropy,all_kepler,finite,equal,ok,991.0,515.0,783.0,353.0,595.0,"APOGEE-calibrated model=conditioned; calibration_n=2815, high_alpha_n=168, velocity=old_astropy, scope=all_kepler, flag_policy=finite, component_prior=equal; chemically conditioned Gaussian components; low_mean=[-227.2, 30.256], high_mean=[-211.489, 44.749], prior_high=0.500000"
conditioned,direct,all_kepler,finite,equal,ok,921.0,585.0,775.0,361.0,751.0,"APOGEE-calibrated model=conditioned; calibration_n=2815, high_alpha_n=168, velocity=direct, scope=all_kepler, flag_policy=finite, component_prior=equal; chemically conditioned Gaussian components; low_mean=[226.355, 33.912], high_mean=[210.239, 49.204], prior_high=0.500000"
pooled,direct,all_kepler,finite,equal,ok,1408.0,98.0,1069.0,67.0,811.0,"APOGEE-calibrated model=pooled; calibration_n=2815, high_alpha_n=168, velocity=direct, scope=all_kepler, flag_policy=finite, component_prior=equal; pooled unsupervised GMM; means=[[226.053, 29.663], [212.393, 136.486]], high_alpha_fraction_by_component=[0.05018587360594796, 0.264], thick_component=1"
pooled,old_astropy,all_kepler,finite,equal,ok,1447.0,59.0,1080.0,56.0,911.0,"APOGEE-calibrated model=pooled; calibration_n=2815, high_alpha_n=168, velocity=old_astropy, scope=all_kepler, flag_policy=finite, component_prior=equal; pooled unsupervised GMM; means=[[-226.899, 26.373], [-212.778, 131.65]], high_alpha_fraction_by_component=[0.0507595405705817, 0.2672413793103448], thick_component=1"
pooled,old_astropy,planet_hosts,finite,equal,ok,1463.0,43.0,1100.0,36.0,983.0,"APOGEE-calibrated model=pooled; calibration_n=647, high_alpha_n=51, velocity=old_astropy, scope=planet_hosts, flag_policy=finite, component_prior=equal; pooled unsupervised GMM; means=[[-226.606, 31.116], [-201.148, 112.969]], high_alpha_fraction_by_component=[0.06581059390048154, 0.4166666666666667], thick_component=1"
conditioned,old_astropy,planet_hosts,finite,empirical,ok,1467.0,39.0,1117.0,19.0,1025.0,"APOGEE-calibrated model=conditioned; calibration_n=647, high_alpha_n=51, velocity=old_astropy, scope=planet_hosts, flag_policy=finite, component_prior=empirical; chemically conditioned Gaussian components; low_mean=[-226.681, 33.547], high_mean=[-211.609, 48.112], prior_high=0.078825"
conditioned,direct,planet_hosts,finite,empirical,ok,1475.0,31.0,1118.0,18.0,1043.0,"APOGEE-calibrated model=conditioned; calibration_n=647, high_alpha_n=51, velocity=direct, scope=planet_hosts, flag_policy=finite, component_prior=empirical; chemically conditioned Gaussian components; low_mean=[225.002, 39.931], high_mean=[209.653, 53.787], prior_high=0.078825"
conditioned,old_astropy,all_kepler,finite,empirical,ok,1490.0,16.0,1128.0,8.0,1093.0,"APOGEE-calibrated model=conditioned; calibration_n=2815, high_alpha_n=168, velocity=old_astropy, scope=all_kepler, flag_policy=finite, component_prior=empirical; chemically conditioned Gaussian components; low_mean=[-227.2, 30.256], high_mean=[-211.489, 44.749], prior_high=0.059680"
conditioned,direct,all_kepler,finite,empirical,ok,1495.0,11.0,1132.0,4.0,1111.0,"APOGEE-calibrated model=conditioned; calibration_n=2815, high_alpha_n=168, velocity=direct, scope=all_kepler, flag_policy=finite, component_prior=empirical; chemically conditioned Gaussian components; low_mean=[226.355, 33.912], high_mean=[210.239, 49.204], prior_high=0.059680"
conditioned,old_astropy,planet_hosts,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,old_astropy,planet_hosts,all_zero,empirical,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,old_astropy,all_kepler,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,old_astropy,all_kepler,all_zero,empirical,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,direct,planet_hosts,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,direct,planet_hosts,all_zero,empirical,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,direct,all_kepler,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
conditioned,direct,all_kepler,all_zero,empirical,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
pooled,old_astropy,planet_hosts,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
pooled,old_astropy,all_kepler,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
pooled,direct,planet_hosts,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
pooled,direct,all_kepler,all_zero,equal,error:ValueError:APOGEE calibration sample does not contain both high-alpha and low-alpha stars.,,,,,,
